Family,Porphyria_type,Pedigree_size,Biochemical_pos
1,AIP,70,19
2,AIP,10,2
3,AIP,4,2
4,AIP,38,14
8,AIP,10,3
9,AIP,23,5
10,AIP,16,2
11,AIP,11,2
12,AIP,1,1
13,AIP,5,3
28,AIP,14,6
29,AIP,3,1
32,AIP,5,2
41,AIP,9,1
42,AIP,1,1
54,AIP,2,2
60,AIP,6,2
64,AIP,1,1
66,AIP,4,1
67,AIP,3,1
70,AIP,1,1
74,AIP,11,2
77,AIP,1,1
81,AIP,19,5
85,AIP,1,1
15,AIP,1,0
26,CEP,1,1
93,CEP,4,4
101,CEP,2,1
19,EPP,1,0
20,EPP,4,2
21,EPP,1,1
22,EPP,4,1
23,EPP,4,1
24,EPP,10,2
30,EPP,10,2
35,EPP,4,2
36,EPP,1,1
37,EPP,1,1
43,EPP,3,1
44,EPP,1,1
52,EPP,1,1
57,EPP,6,2
59,EPP,1,1
72,EPP,1,1
83,EPP,3,1
84,EPP,2,1
87,EPP,1,1
90,EPP,5,1
94,EPP,2,1
95,EPP,1,0
97,EPP,1,1
99,EPP,2,1
102,EPP,1,2
103,EPP,1,0
27,fPCT,5,2
31,fPCT,10,6
45,fPCT,1,1
62,fPCT,1,1
69,fPCT,4,2
86,fPCT,3,2
96,fPCT,3,2
98,fPCT,3,1
5,HCP,23,6
6,HCP,10,3
14,HCP,41,4
25,HCP,2,1
38,HCP,29,5
39,HCP,28,6
40,HCP,5,1
46,HCP,1,0
48,HCP,12,3
58,HCP,1,1
49,VP,7,2
61,AIP,1,1
78,fPCT,2,1
80,fPCT,2,0
89,EPP,1,1
92,fPCT,1,0
7,VP,46,19
16,VP,49,12
17,VP,30,10
18,VP,22,5
33,VP,6,2
34,VP,1,1
47,VP,4,3
50,VP,11,3
51,VP,3,2
53,VP,1,1
55,VP,2,1
56,VP,5,1
63,VP,1,1
65,VP,1,1
73,VP,23,3
82,VP,4,1
91,VP,3,0
104,VP,1,1
88,XLEPP,7,2
TBA1,AIP,1,1
TBA1,AIP,1,1
TBA10,fPCT,1,1
TBA11,HCP,1,1
TBA12,HCP,1,1
TBA13,AIP,1,1
TBA14,fPCT,1,1
TBA15,VP,1,1
TBA16,fPCT,1,1
TBA17,AIP,1,1
TBA18,AIP,1,1
TBA2,AIP,1,1
TBA3,AIP,1,1
TBA4,AIP,1,1
TBA5,fPCT,1,1
TBA6,fPCT,1,1
TBA7,fPCT,1,1
TBA8,fPCT,1,1
TBA9,AIP,1,1
TBAX19,VP,1,1
TBAX20,fPCT,1,1
TBAX21,fPCT,1,1
TBAX22,AIP,1,1
TBAX23,HCP,1,1
